,PGS000020,PGS000023,PGS000036,PGS000806,PGS000807,PGS000808,PGS002379,PGS003353,PGS003445,PGS003731
PGS000020,-1.1920929e-07,1.0,0.99934214,1.0024698,1.0004301,0.9964012,0.9936118,1.0010505,0.99577606,0.9936778
PGS000023,1.0,0.0,1.0,1.0,1.0,1.0,0.99949425,1.0,0.9999127,1.0
PGS000036,0.99934214,1.0,-1.9073486e-06,1.0007424,1.000786,0.99911606,0.9994486,0.99959666,0.9998884,0.9974203
PGS000806,1.0024698,1.0,1.0007424,-1.3113022e-06,0.7946171,0.7730291,1.0004058,0.95716715,0.99953294,0.959345
PGS000807,1.0004301,1.0,1.000786,0.7946171,5.9604645e-08,0.7430787,0.9985296,0.9104029,1.000057,0.91901183
PGS000808,0.9964012,1.0,0.99911606,0.7730291,0.7430787,-9.536743e-07,1.0003022,0.9702628,1.0002102,0.92650914
PGS002379,0.9936118,0.99949425,0.9994486,1.0004058,0.9985296,1.0003022,-1.4305115e-05,0.99930376,0.98331493,0.99957603
PGS003353,1.0010505,1.0,0.99959666,0.95716715,0.9104029,0.9702628,0.99930376,1.1920929e-07,0.999596,0.9488341
PGS003445,0.99577606,0.9999127,0.9998884,0.99953294,1.000057,1.0002102,0.98331493,0.999596,-1.1444092e-05,0.999632
PGS003731,0.9936778,1.0,0.9974203,0.959345,0.91901183,0.92650914,0.99957603,0.9488341,0.999632,4.172325e-07
